run,seed,step,hazard,alpha,pL_d3,pL_d5,pL_d7
1,7739,25,0.0,0.01,0.24,0.04,0.0
1,7739,26,0.0,0.01,0.18,0.02,0.0
1,7739,27,0.0,0.01,0.16,0.04,0.0
1,7739,28,0.0,0.01,0.24,0.06,0.0
1,7739,29,0.0,0.01,0.16,0.02,0.0
1,7739,30,0.0,0.01,0.14,0.04,0.0
1,7739,31,0.0,0.01,0.24,0.0,0.0
1,7739,32,0.0,0.01,0.22,0.04,0.0
1,7739,33,0.0,0.01,0.16,0.0,0.0
1,7739,34,0.0,0.01,0.1,0.02,0.0
1,7739,35,0.0,0.01,0.24,0.12,0.0
1,7739,36,0.0,0.01,0.16,0.04,0.0
1,7739,37,0.0,0.01,0.22,0.02,0.0
1,7739,38,0.02,0.01,0.22,0.04,0.02
1,7739,39,0.0,0.01,0.32,0.04,0.0
1,7739,40,0.0,0.01,0.2,0.02,0.0
1,7739,41,0.0,0.01,0.12,0.06,0.0
1,7739,42,0.0,0.01,0.16,0.0,0.0
1,7739,43,0.0,0.01,0.26,0.08,0.0
1,7739,44,0.0,0.01,0.16,0.0,0.0
1,7739,45,0.0,0.01,0.22,0.02,0.0
1,7739,46,0.0,0.01,0.3,0.0,0.0
1,7739,47,0.0,0.01,0.26,0.06,0.0
1,7739,48,0.0,0.01,0.22,0.02,0.0
1,7739,49,0.0,0.01,0.18,0.02,0.0
1,7739,50,0.02,0.01,0.24,0.02,0.02
1,7739,51,0.0,0.01,0.24,0.08,0.0
1,7739,52,0.02,0.01,0.18,0.02,0.02
1,7739,53,0.0,0.01,0.26,0.04,0.0
1,7739,54,0.0,0.01,0.22,0.0,0.0
1,7739,55,0.0,0.01,0.18,0.02,0.0
1,7739,56,0.0,0.01,0.18,0.04,0.0
1,7739,57,0.0,0.01,0.3,0.02,0.0
1,7739,58,0.0,0.01,0.2,0.02,0.0
1,7739,59,0.0,0.01,0.3,0.0,0.0
1,7739,60,0.0,0.01,0.26,0.02,0.0
1,7739,61,0.0,0.01,0.16,0.0,0.0
1,7739,62,0.0,0.01,0.34,0.0,0.0
1,7739,63,0.0,0.01,0.32,0.02,0.0
1,7739,64,0.0,0.01,0.18,0.0,0.0
1,7739,65,0.0,0.01,0.18,0.02,0.0
1,7739,66,0.0,0.01,0.08,0.02,0.0
1,7739,67,0.0,0.01,0.32,0.04,0.0
1,7739,68,0.0,0.01,0.2,0.02,0.0
1,7739,69,0.0,0.01,0.18,0.0,0.0
1,7739,70,0.0,0.01,0.12,0.02,0.0
1,7739,71,0.0,0.01,0.16,0.0,0.0
1,7739,72,0.02,0.01,0.18,0.04,0.02
1,7739,73,0.0,0.01,0.22,0.04,0.0
1,7739,74,0.0,0.01,0.34,0.0,0.0
1,7739,75,0.0,0.01,0.2,0.02,0.0
1,7739,76,0.0,0.01,0.2,0.02,0.0
1,7739,77,0.0,0.01,0.44,0.08,0.0
1,7739,78,0.0,0.01,0.22,0.0,0.0
1,7739,79,0.02,0.01,0.38,0.02,0.02
1,7739,80,0.04,0.01,0.34,0.02,0.04
1,7739,81,0.04,0.01,0.4,0.02,0.04
1,7739,82,0.0,0.01,0.4,0.02,0.0
1,7739,83,0.0,0.01,0.18,0.02,0.0
1,7739,84,0.0,0.01,0.14,0.0,0.0
1,7739,85,0.0,0.01,0.16,0.02,0.0
1,7739,86,0.0,0.01,0.1,0.0,0.0
1,7739,87,0.0,0.01,0.22,0.02,0.0
1,7739,88,0.0,0.01,0.1,0.02,0.0
1,7739,89,0.0,0.01,0.06,0.0,0.0
1,7739,90,0.0,0.01,0.04,0.0,0.0
1,7739,91,0.0,0.01,0.04,0.0,0.0
1,7739,92,0.0,0.01,0.0,0.0,0.0
1,7739,93,0.0,0.01,0.02,0.0,0.0
1,7739,94,0.0,0.01,0.06,0.02,0.0
1,7739,95,0.0,0.01,0.02,0.02,0.0
1,7739,96,0.0,0.01,0.0,0.0,0.0
1,7739,97,0.0,0.01,0.02,0.0,0.0
1,7739,98,0.0,0.01,0.04,0.0,0.0
1,7739,99,0.0,0.01,0.04,0.0,0.0
1,7739,100,0.0,0.01,0.1,0.02,0.0
1,7739,101,0.0,0.01,0.2,0.0,0.0
1,7739,102,0.0,0.01,0.38,0.06,0.0
1,7739,103,0.0,0.01,0.3,0.04,0.0
1,7739,104,0.02,0.01,0.28,0.06,0.02
1,7739,105,0.0,0.01,0.42,0.04,0.0
1,7739,106,0.0,0.01,0.4,0.06,0.0
1,7739,107,0.02,0.01,0.4,0.06,0.02
1,7739,108,0.02,0.01,0.38,0.02,0.02
1,7739,109,0.0,0.01,0.46,0.02,0.0
1,7739,110,0.0,0.01,0.36,0.06,0.0
1,7739,111,0.0,0.01,0.4,0.04,0.0
1,7739,112,0.0,0.01,0.42,0.06,0.0
1,7739,113,0.02,0.01,0.46,0.02,0.02
1,7739,114,0.02,0.01,0.34,0.02,0.02
1,7739,115,0.0,0.01,0.4,0.04,0.0
1,7739,116,0.0,0.01,0.3,0.06,0.0
1,7739,117,0.0,0.01,0.38,0.04,0.0
1,7739,118,0.0,0.01,0.28,0.0,0.0
1,7739,119,0.0,0.01,0.36,0.06,0.0
1,7739,120,0.0,0.01,0.34,0.02,0.0
1,7739,121,0.0,0.01,0.34,0.08,0.0
1,7739,122,0.02,0.01,0.32,0.1,0.02
1,7739,123,0.0,0.01,0.38,0.08,0.0
1,7739,124,0.0,0.01,0.28,0.0,0.0
1,7739,125,0.0,0.01,0.36,0.06,0.0
1,7739,126,0.0,0.01,0.32,0.02,0.0
1,7739,127,0.0,0.01,0.42,0.0,0.0
1,7739,128,0.0,0.01,0.3,0.02,0.0
1,7739,129,0.02,0.01,0.4,0.04,0.02
1,7739,130,0.0,0.01,0.42,0.02,0.0
1,7739,131,0.0,0.01,0.4,0.04,0.0
1,7739,132,0.0,0.01,0.36,0.04,0.0
1,7739,133,0.0,0.01,0.44,0.12,0.0
1,7739,134,0.02,0.01,0.4,0.08,0.02
1,7739,135,0.0,0.01,0.38,0.0,0.0
1,7739,136,0.0,0.01,0.38,0.04,0.0
1,7739,137,0.0,0.01,0.4,0.06,0.0
1,7739,138,0.0,0.01,0.38,0.0,0.0
1,7739,139,0.0,0.01,0.46,0.06,0.0
1,7739,140,0.0,0.01,0.42,0.0,0.0
1,7739,141,0.0,0.01,0.32,0.0,0.0
1,7739,142,0.0,0.01,0.32,0.06,0.0
1,7739,143,0.0,0.01,0.48,0.02,0.0
1,7739,144,0.0,0.01,0.46,0.06,0.0
1,7739,145,0.0,0.01,0.3,0.0,0.0
1,7739,146,0.0,0.01,0.18,0.0,0.0
1,7739,147,0.0,0.01,0.4,0.02,0.0
1,7739,148,0.0,0.01,0.18,0.0,0.0
1,7739,149,0.02,0.01,0.1,0.06,0.02
2,6545,0,0.0,0.01,0.24,0.06,0.0
2,6545,1,0.0,0.01,0.16,0.06,0.0
2,6545,2,0.0,0.01,0.22,0.04,0.0
2,6545,3,0.0,0.01,0.18,0.0,0.0
2,6545,4,0.0,0.01,0.28,0.04,0.0
2,6545,5,0.0,0.01,0.32,0.04,0.0
2,6545,6,0.0,0.01,0.3,0.02,0.0
2,6545,7,0.0,0.01,0.28,0.04,0.0
2,6545,8,0.0,0.01,0.16,0.02,0.0
2,6545,9,0.0,0.01,0.12,0.1,0.0
2,6545,10,0.0,0.01,0.16,0.02,0.0
2,6545,11,0.0,0.01,0.14,0.02,0.0
2,6545,12,0.0,0.01,0.16,0.06,0.0
2,6545,13,0.0,0.01,0.06,0.02,0.0
2,6545,14,0.0,0.01,0.16,0.02,0.0
2,6545,15,0.0,0.01,0.16,0.0,0.0
2,6545,16,0.0,0.01,0.06,0.0,0.0
2,6545,17,0.0,0.01,0.22,0.06,0.0
2,6545,18,0.0,0.01,0.16,0.1,0.0
2,6545,19,0.0,0.01,0.22,0.06,0.0
2,6545,20,0.0,0.01,0.18,0.04,0.0
2,6545,21,0.0,0.01,0.12,0.04,0.0
2,6545,22,0.0,0.01,0.28,0.02,0.0
2,6545,23,0.0,0.01,0.26,0.06,0.0
2,6545,24,0.0,0.01,0.24,0.02,0.0
2,6545,25,0.0,0.01,0.32,0.0,0.0
2,6545,26,0.0,0.01,0.18,0.0,0.0
2,6545,27,0.0,0.01,0.14,0.04,0.0
2,6545,28,0.0,0.01,0.2,0.0,0.0
2,6545,29,0.0,0.01,0.06,0.0,0.0
2,6545,30,0.0,0.01,0.16,0.0,0.0
2,6545,31,0.0,0.01,0.08,0.06,0.0
2,6545,32,0.0,0.01,0.34,0.04,0.0
2,6545,33,0.0,0.01,0.14,0.04,0.0
2,6545,34,0.0,0.01,0.18,0.04,0.0
2,6545,35,0.02,0.01,0.36,0.04,0.02
2,6545,36,0.0,0.01,0.22,0.14,0.0
2,6545,37,0.0,0.01,0.16,0.0,0.0
2,6545,38,0.0,0.01,0.02,0.02,0.0
2,6545,39,0.0,0.01,0.0,0.0,0.0
2,6545,40,0.0,0.01,0.0,0.0,0.0
2,6545,41,0.0,0.01,0.04,0.0,0.0
2,6545,42,0.0,0.01,0.14,0.0,0.0
2,6545,43,0.0,0.01,0.18,0.0,0.0
2,6545,44,0.0,0.01,0.08,0.0,0.0
2,6545,45,0.0,0.01,0.04,0.0,0.0
2,6545,46,0.0,0.01,0.1,0.04,0.0
2,6545,47,0.0,0.01,0.0,0.02,0.0
2,6545,48,0.0,0.01,0.02,0.0,0.0
2,6545,49,0.0,0.01,0.04,0.0,0.0
2,6545,50,0.0,0.01,0.04,0.02,0.0
2,6545,51,0.0,0.01,0.1,0.0,0.0
2,6545,52,0.0,0.01,0.2,0.0,0.0
2,6545,53,0.0,0.01,0.16,0.0,0.0
2,6545,54,0.0,0.01,0.06,0.0,0.0
2,6545,55,0.0,0.01,0.0,0.0,0.0
2,6545,56,0.0,0.01,0.0,0.0,0.0
2,6545,57,0.0,0.01,0.04,0.0,0.0
2,6545,58,0.0,0.01,0.04,0.0,0.0
2,6545,59,0.0,0.01,0.04,0.02,0.0
2,6545,60,0.02,0.01,0.02,0.0,0.02
2,6545,61,0.0,0.01,0.1,0.02,0.0
2,6545,62,0.02,0.01,0.12,0.0,0.02
2,6545,63,0.0,0.01,0.06,0.0,0.0
2,6545,64,0.0,0.01,0.12,0.02,0.0
2,6545,65,0.0,0.01,0.06,0.0,0.0
2,6545,66,0.0,0.01,0.18,0.02,0.0
2,6545,67,0.0,0.01,0.18,0.02,0.0
2,6545,68,0.0,0.01,0.26,0.04,0.0
2,6545,69,0.02,0.01,0.4,0.08,0.02
2,6545,70,0.0,0.01,0.38,0.08,0.0
2,6545,71,0.02,0.01,0.42,0.04,0.02
2,6545,72,0.0,0.01,0.2,0.02,0.0
2,6545,73,0.0,0.01,0.28,0.0,0.0
2,6545,74,0.0,0.01,0.18,0.02,0.0
2,6545,75,0.0,0.01,0.2,0.0,0.0
2,6545,76,0.0,0.01,0.18,0.08,0.0
2,6545,77,0.0,0.01,0.18,0.0,0.0
2,6545,78,0.0,0.01,0.06,0.02,0.0
2,6545,79,0.0,0.01,0.14,0.0,0.0
2,6545,80,0.0,0.01,0.1,0.02,0.0
2,6545,81,0.0,0.01,0.24,0.0,0.0
2,6545,82,0.0,0.01,0.08,0.04,0.0
2,6545,83,0.0,0.01,0.1,0.02,0.0
2,6545,84,0.0,0.01,0.04,0.0,0.0
2,6545,85,0.0,0.01,0.06,0.0,0.0
2,6545,86,0.0,0.01,0.0,0.0,0.0
2,6545,87,0.0,0.01,0.04,0.0,0.0
2,6545,88,0.0,0.01,0.04,0.0,0.0
2,6545,89,0.0,0.01,0.06,0.0,0.0
2,6545,90,0.0,0.01,0.1,0.0,0.0
2,6545,91,0.0,0.01,0.08,0.02,0.0
2,6545,92,0.0,0.01,0.04,0.0,0.0
2,6545,93,0.0,0.01,0.1,0.02,0.0
2,6545,94,0.0,0.01,0.12,0.0,0.0
2,6545,95,0.0,0.01,0.1,0.0,0.0
2,6545,96,0.0,0.01,0.12,0.0,0.0
2,6545,97,0.0,0.01,0.1,0.02,0.0
2,6545,98,0.0,0.01,0.1,0.0,0.0
2,6545,99,0.0,0.01,0.02,0.0,0.0
2,6545,100,0.0,0.01,0.1,0.0,0.0
2,6545,101,0.0,0.01,0.08,0.02,0.0
2,6545,102,0.0,0.01,0.1,0.02,0.0
2,6545,103,0.0,0.01,0.08,0.02,0.0
2,6545,104,0.0,0.01,0.04,0.02,0.0
2,6545,105,0.0,0.01,0.36,0.06,0.0
2,6545,106,0.0,0.01,0.26,0.02,0.0
2,6545,107,0.0,0.01,0.28,0.06,0.0
2,6545,108,0.02,0.01,0.26,0.0,0.02
2,6545,109,0.02,0.01,0.26,0.04,0.02
2,6545,110,0.0,0.01,0.32,0.04,0.0
2,6545,111,0.0,0.01,0.34,0.04,0.0
2,6545,112,0.0,0.01,0.28,0.04,0.0
2,6545,113,0.0,0.01,0.32,0.04,0.0
2,6545,114,0.0,0.01,0.28,0.02,0.0
2,6545,115,0.02,0.01,0.46,0.0,0.02
2,6545,116,0.0,0.01,0.32,0.02,0.0
2,6545,117,0.0,0.01,0.42,0.02,0.0
